message_id,channel_name,class_name,confidence,image_category,image_path
49,CheMed123,kite,0.3449,promotional,data/raw/images\CheMed123\49.jpg
49,CheMed123,frisbee,0.3252,promotional,data/raw/images\CheMed123\49.jpg
50,CheMed123,none,0.0,other,data/raw/images\CheMed123\50.jpg
52,CheMed123,person,0.7039,promotional,data/raw/images\CheMed123\52.jpg
52,CheMed123,person,0.6461,promotional,data/raw/images\CheMed123\52.jpg
52,CheMed123,horse,0.6253,promotional,data/raw/images\CheMed123\52.jpg
52,CheMed123,person,0.5131,promotional,data/raw/images\CheMed123\52.jpg
52,CheMed123,person,0.431,promotional,data/raw/images\CheMed123\52.jpg
52,CheMed123,person,0.3348,promotional,data/raw/images\CheMed123\52.jpg
53,CheMed123,person,0.5738,promotional,data/raw/images\CheMed123\53.jpg
55,CheMed123,stop sign,0.3071,promotional,data/raw/images\CheMed123\55.jpg
56,CheMed123,person,0.833,promotional,data/raw/images\CheMed123\56.jpg
58,CheMed123,bottle,0.4115,promotional,data/raw/images\CheMed123\58.jpg
59,CheMed123,none,0.0,other,data/raw/images\CheMed123\59.jpg
60,CheMed123,none,0.0,other,data/raw/images\CheMed123\60.jpg
64,CheMed123,person,0.6865,promotional,data/raw/images\CheMed123\64.jpg
64,CheMed123,person,0.4402,promotional,data/raw/images\CheMed123\64.jpg
67,CheMed123,stop sign,0.5792,promotional,data/raw/images\CheMed123\67.jpg
70,CheMed123,potted plant,0.9247,promotional,data/raw/images\CheMed123\70.jpg
70,CheMed123,person,0.8443,promotional,data/raw/images\CheMed123\70.jpg
70,CheMed123,book,0.4226,promotional,data/raw/images\CheMed123\70.jpg
71,CheMed123,person,0.8836,promotional,data/raw/images\CheMed123\71.jpg
71,CheMed123,person,0.8043,promotional,data/raw/images\CheMed123\71.jpg
74,CheMed123,none,0.0,other,data/raw/images\CheMed123\74.jpg
75,CheMed123,person,0.8353,promotional,data/raw/images\CheMed123\75.jpg
76,CheMed123,person,0.8694,promotional,data/raw/images\CheMed123\76.jpg
77,CheMed123,bottle,0.9558,promotional,data/raw/images\CheMed123\77.jpg
77,CheMed123,bottle,0.9073,promotional,data/raw/images\CheMed123\77.jpg
77,CheMed123,bottle,0.8961,promotional,data/raw/images\CheMed123\77.jpg
77,CheMed123,bottle,0.8937,promotional,data/raw/images\CheMed123\77.jpg
78,CheMed123,person,0.7699,promotional,data/raw/images\CheMed123\78.jpg
